PART_NUMBER,PART_SEG,PART_DESCRIPTION,PART_CATEGORY
PAN-PA-200,PALO,Palo Alto Networks PA-200,SOFTWARE
PAN-PA-200-AUS,PALO,Palo Alto Networks PA-200 with Australia power cord,HARDWARE
PAN-PA-200-EU,PALO,Palo Alto Networks PA-200 with EU power cord,HARDWARE
PAN-PA-200-JP,PALO,Palo Alto Networks PA-200 with Japan power cord,HARDWARE
PAN-PA-200-SUI,PALO,Palo Alto Networks PA-200 with Suise power cord,HARDWARE
PAN-PA-200-TW,PALO,Palo Alto Networks PA-200 with Taiwan power cord,HARDWARE
PAN-PA-200-UK,PALO,Palo Alto Networks PA-200 with UK power cord,HARDWARE
PAN-PA-200E,PALO,"Palo Alto Networks PA-200, Enterprise",HARDWARE
PAN-PA-200E-AUS,PALO,"Palo Alto Networks PA-200 with Australia power cord, Enterprise",HARDWARE
PAN-PA-200E-EU,PALO,"Palo Alto Networks PA-200 with EU power cord, Enterprise",HARDWARE
