PART_NUMBER,PART_SEG,PART_DESCRIPTION,PART_CATEGORY,GROUND_TRUTH
PAN-PA-200,PALO,Palo Alto Networks PA-200,HARDWARE,HARDWARE
PAN-PA-200-AUS,PALO,Palo Alto Networks PA-200 with Australia power cord,HARDWARE,HARDWARE
PAN-PA-200-EU,PALO,Palo Alto Networks PA-200 with EU power cord,HARDWARE,HARDWARE
PAN-PA-200-JP,PALO,Palo Alto Networks PA-200 with Japan power cord,HARDWARE,HARDWARE
PAN-PA-200-SUI,PALO,Palo Alto Networks PA-200 with Suise power cord,HARDWARE,HARDWARE
PAN-PA-200-TW,PALO,Palo Alto Networks PA-200 with Taiwan power cord,HARDWARE,HARDWARE
PAN-PA-200-UK,PALO,Palo Alto Networks PA-200 with UK power cord,HARDWARE,HARDWARE
PAN-PA-200E,PALO,"Palo Alto Networks PA-200, Enterprise",HARDWARE,HARDWARE
PAN-PA-200E-AUS,PALO,"Palo Alto Networks PA-200 with Australia power cord, Enterprise",HARDWARE,HARDWARE
PAN-PA-200E-EU,PALO,"Palo Alto Networks PA-200 with EU power cord, Enterprise",HARDWARE,HARDWARE
PAN-PA-200E-JP,PALO,"Palo Alto Networks PA-200 with Japan power cord, Enterprise",HARDWARE,HARDWARE
PAN-PA-200E-SUI,PALO,"Palo Alto Networks PA-200 with Suise power cord, Enterprise",HARDWARE,HARDWARE
PAN-PA-200E-TW,PALO,"Palo Alto Networks PA-200 with Taiwan power cord, Enterprise",HARDWARE,HARDWARE
PAN-PA-200E-UK,PALO,"Palo Alto Networks PA-200 with UK power cord, Enterprise, Enterprise",HARDWARE,HARDWARE
PAN-PA-220,PALO,Palo Alto Networks PA-220,HARDWARE,HARDWARE
PAN-PA-500-2GB,PALO,Palo Alto Networks PA-500 2GB Memory,HARDWARE,HARDWARE
PAN-PA-500-UPG-2GB,PALO,2GB Memory Upgrade Kit for PA-500 Only. Cannot be installed on a PA-500-2GB (this unit already has 2GB memory).,HARDWARE,HARDWARE
PAN-PA-820,PALO,Palo Alto Networks PA-820,HARDWARE,HARDWARE
PAN-PA-850,PALO,Palo Alto Networks PA-850,HARDWARE,HARDWARE
PAN-PA-3020,PALO,Palo Alto Networks PA-3020,HARDWARE,HARDWARE
PAN-PA-3050,PALO,Palo Alto Networks PA-3050,HARDWARE,HARDWARE
PAN-PA-3060,PALO,Palo Alto Networks PA-3060,HARDWARE,HARDWARE
PAN-PA-5020-SSD2-D,PALO,Redundant AC power supply and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5020-NEBS-D,PALO,AC version of NEBS Compliant Palo Alto Networks PA-5020 with redundant AC power supplies and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5020-DC-NEBS-D,PALO,DC Version of NEBS Compliant Palo Alto Networks PA-5020 with redundant DC power supplies and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5050-DC-NEBS-D,PALO,DC version of NEBS Compliant Palo Alto Networks PA-5050 with redundant DC power supplies and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5050-NEBS-D,PALO,AC version of NEBS Compliant Palo Alto Networks PA-5050 with redundant AC power supplies and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5050-SSD2-D,PALO,Redundant AC power supply and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5060-DC-NEBS-D,PALO,DC version of NEBS Compliant Palo Alto Networks PA-5060 with redundant DC power supplies and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5060-NEBS-D,PALO,AC version of NEBS Compliant Palo Alto Networks PA-5060 with redundant AC power supplies and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5060-SSD2-D,PALO,Redundant AC power supply and dual 240GB SSD drive,HARDWARE,HARDWARE
PAN-PA-5220-AC,PALO,Palo Alto Networks PA-5220 with redundant AC power supplies,HARDWARE,HARDWARE
PAN-PA-5220-DC,PALO,Palo Alto Networks PA-5220 with redundant DC power supplies,HARDWARE,HARDWARE
PAN-PA-5250-AC,PALO,Palo Alto Networks PA-5250 with redundant AC power supplies,HARDWARE,HARDWARE
PAN-PA-5250-DC,PALO,Palo Alto Networks PA-5250 with redundant DC power supplies,HARDWARE,HARDWARE
PAN-PA-5260-AC,PALO,Palo Alto Networks PA-5260 with redundant AC power supplies,HARDWARE,HARDWARE
