Manuf,Vendor Part No,Description,List Price
Palo Alto Networks,PAN-PA-200,Palo Alto Networks PA-200,2000.0000
Palo Alto Networks,PAN-PA-200-AUS,Palo Alto Networks PA-200 with Australia power cord,2000.0000
Palo Alto Networks,PAN-PA-200-EU,Palo Alto Networks PA-200 with EU power cord,2000.0000
Palo Alto Networks,PAN-PA-200-JP,Palo Alto Networks PA-200 with Japan power cord,2000.0000
Palo Alto Networks,PAN-PA-200-SUI,Palo Alto Networks PA-200 with Suise power cord,2000.0000
Palo Alto Networks,PAN-PA-200-TW,Palo Alto Networks PA-200 with Taiwan power cord,2000.0000
Palo Alto Networks,PAN-PA-200-UK,Palo Alto Networks PA-200 with UK power cord,2000.0000
Palo Alto Networks,PAN-PA-200E,"Palo Alto Networks PA-200, Enterprise",1300.0000
Palo Alto Networks,PAN-PA-200E-AUS,"Palo Alto Networks PA-200 with Australia power cord, Enterprise",1300.0000
Palo Alto Networks,PAN-PA-200E-EU,"Palo Alto Networks PA-200 with EU power cord, Enterprise",1300.0000
Palo Alto Networks,PAN-PA-200E-JP,"Palo Alto Networks PA-200 with Japan power cord, Enterprise",1300.0000
Palo Alto Networks,PAN-PA-200E-SUI,"Palo Alto Networks PA-200 with Suise power cord, Enterprise",1300.0000
Palo Alto Networks,PAN-PA-200E-TW,"Palo Alto Networks PA-200 with Taiwan power cord, Enterprise",1300.0000
Palo Alto Networks,PAN-PA-200E-UK,"Palo Alto Networks PA-200 with UK power cord, Enterprise, Enterprise",1300.0000
Palo Alto Networks,PAN-PA-220,Palo Alto Networks PA-220,1000.0000
Palo Alto Networks,PAN-PA-500-2GB,Palo Alto Networks PA-500 2GB Memory,4500.0000
Palo Alto Networks,PAN-PA-500-UPG-2GB,2GB Memory Upgrade Kit for PA-500 Only. Cannot be installed on a PA-500-2GB (this unit already has 2GB memory).,400.0000
Palo Alto Networks,PAN-PA-820,Palo Alto Networks PA-820,4500.0000
Palo Alto Networks,PAN-PA-850,Palo Alto Networks PA-850,9500.0000
Palo Alto Networks,PAN-PA-3020,Palo Alto Networks PA-3020,14000.0000
Palo Alto Networks,PAN-PA-3050,Palo Alto Networks PA-3050,24000.0000
